timestamp,session_id,turn,eou_delay,llm_ttft,tts_ttfb,total
1782659022,105a32f9-5fa8-443a-9ed1-42d694f79d58,1,0.350,1.476,0.269,2.096
1782659033,105a32f9-5fa8-443a-9ed1-42d694f79d58,2,0.351,0.755,0.308,1.414
1782659059,105a32f9-5fa8-443a-9ed1-42d694f79d58,3,0.351,1.004,0.258,1.613
1782734051,b2a82168-fc75-4404-b14e-f111ce088ae6,1,0.351,0.575,0.413,1.339
1782734068,b2a82168-fc75-4404-b14e-f111ce088ae6,2,0.351,0.712,0.268,1.330
1782734087,b2a82168-fc75-4404-b14e-f111ce088ae6,3,0.351,0.897,0.359,1.607
1782734109,b2a82168-fc75-4404-b14e-f111ce088ae6,4,0.352,3.374,0.297,4.022
1782734548,508774f6-eef6-4d10-8865-231eaf426b0b,1,0.351,1.455,0.367,2.173
1782734551,508774f6-eef6-4d10-8865-231eaf426b0b,2,0.000,0.969,0.276,1.245
1782734558,508774f6-eef6-4d10-8865-231eaf426b0b,3,0.352,1.759,0.353,2.464
1782734571,508774f6-eef6-4d10-8865-231eaf426b0b,4,0.351,1.436,0.363,2.149
1782734599,508774f6-eef6-4d10-8865-231eaf426b0b,5,0.351,4.006,0.295,4.652
1782734625,508774f6-eef6-4d10-8865-231eaf426b0b,6,0.351,0.734,0.273,1.358
1782734665,508774f6-eef6-4d10-8865-231eaf426b0b,7,0.351,0.788,0.356,1.495
1782734689,508774f6-eef6-4d10-8865-231eaf426b0b,8,0.351,0.935,0.291,1.577
1782735226,e6ee5b03-0114-40f3-893d-d29efe3797a2,1,0.351,1.465,0.268,2.084
1782735232,e6ee5b03-0114-40f3-893d-d29efe3797a2,2,0.000,1.095,0.260,1.355
1782735239,e6ee5b03-0114-40f3-893d-d29efe3797a2,3,0.350,0.934,0.364,1.648
1782735249,e6ee5b03-0114-40f3-893d-d29efe3797a2,4,0.351,0.593,0.277,1.221
1782735285,e6ee5b03-0114-40f3-893d-d29efe3797a2,5,0.352,0.707,0.311,1.370
1782735395,39632991-7bdf-42d5-b133-0746b795d8ea,1,0.350,1.247,0.268,1.866
1782735509,088910ed-7e39-4c32-817c-38055e24f776,1,0.351,2.490,0.244,3.085
1782735519,088910ed-7e39-4c32-817c-38055e24f776,2,0.351,0.597,0.264,1.213
1782735531,088910ed-7e39-4c32-817c-38055e24f776,3,0.351,0.569,0.319,1.238
1782735554,088910ed-7e39-4c32-817c-38055e24f776,4,0.351,0.616,0.283,1.250
1782735578,088910ed-7e39-4c32-817c-38055e24f776,5,0.351,1.072,0.443,1.865
1782735597,088910ed-7e39-4c32-817c-38055e24f776,6,0.352,0.678,0.296,1.326
1782735616,088910ed-7e39-4c32-817c-38055e24f776,7,0.351,0.739,0.251,1.341
1782735646,088910ed-7e39-4c32-817c-38055e24f776,8,0.351,0.433,0.331,1.115
1782736166,e680efe9-e42f-41a5-810a-c5bfe94f47fa,1,0.351,1.119,0.260,1.730
1782736551,3e4a608b-c8a8-4196-a5da-6f397df3026e,1,0.351,0.729,0.257,1.336
1782736562,3e4a608b-c8a8-4196-a5da-6f397df3026e,2,0.351,0.725,0.278,1.355
1782736575,3e4a608b-c8a8-4196-a5da-6f397df3026e,3,0.351,0.685,0.285,1.321
1782736592,3e4a608b-c8a8-4196-a5da-6f397df3026e,4,0.351,0.978,0.326,1.656
1782736610,3e4a608b-c8a8-4196-a5da-6f397df3026e,5,0.351,0.819,0.293,1.462
1782736628,3e4a608b-c8a8-4196-a5da-6f397df3026e,6,0.351,0.897,0.324,1.572
1782736647,3e4a608b-c8a8-4196-a5da-6f397df3026e,7,0.351,0.668,0.312,1.331
1782736668,3e4a608b-c8a8-4196-a5da-6f397df3026e,8,0.351,0.801,0.331,1.483
1782736689,3e4a608b-c8a8-4196-a5da-6f397df3026e,9,0.351,0.808,0.304,1.463
1782736717,3e4a608b-c8a8-4196-a5da-6f397df3026e,10,0.351,0.615,0.290,1.256
1782736742,3e4a608b-c8a8-4196-a5da-6f397df3026e,11,0.351,0.754,0.347,1.451
1782736767,3e4a608b-c8a8-4196-a5da-6f397df3026e,12,0.352,0.630,0.291,1.272
1782736786,3e4a608b-c8a8-4196-a5da-6f397df3026e,13,0.351,0.684,0.271,1.306
1782737441,cd67c708-885a-4a41-95bd-8671ec75d78c,1,0.351,1.446,0.255,2.053
1782737452,cd67c708-885a-4a41-95bd-8671ec75d78c,2,0.351,0.573,0.268,1.192
1782737462,cd67c708-885a-4a41-95bd-8671ec75d78c,3,0.351,0.611,0.266,1.228
1782737479,cd67c708-885a-4a41-95bd-8671ec75d78c,4,0.351,0.526,0.358,1.235
1782737509,cd67c708-885a-4a41-95bd-8671ec75d78c,5,0.352,0.407,0.327,1.086
1782737541,cd67c708-885a-4a41-95bd-8671ec75d78c,6,0.351,0.704,0.337,1.392
1782737562,cd67c708-885a-4a41-95bd-8671ec75d78c,7,0.350,0.733,0.381,1.465
1782737583,cd67c708-885a-4a41-95bd-8671ec75d78c,8,0.351,1.098,0.252,1.701
1782737611,cd67c708-885a-4a41-95bd-8671ec75d78c,9,0.350,0.988,0.361,1.698
1782738361,c6116324-d79b-47a4-8cf7-a30519b75809,1,0.352,2.128,0.269,2.749
1782738376,c6116324-d79b-47a4-8cf7-a30519b75809,2,0.351,0.441,0.272,1.064
1782738394,c6116324-d79b-47a4-8cf7-a30519b75809,3,0.351,1.023,0.292,1.666
1782738444,c6116324-d79b-47a4-8cf7-a30519b75809,4,0.351,1.737,0.350,2.438
1782738473,c6116324-d79b-47a4-8cf7-a30519b75809,5,0.350,1.116,0.378,1.844
1782738499,c6116324-d79b-47a4-8cf7-a30519b75809,6,0.352,0.636,0.289,1.277
1782738530,c6116324-d79b-47a4-8cf7-a30519b75809,7,0.351,1.085,0.321,1.756
1782738554,c6116324-d79b-47a4-8cf7-a30519b75809,8,0.352,0.970,0.300,1.622
1782738568,c6116324-d79b-47a4-8cf7-a30519b75809,9,0.351,0.726,0.335,1.412
1782738588,c6116324-d79b-47a4-8cf7-a30519b75809,10,0.351,0.921,0.342,1.613
1782738608,c6116324-d79b-47a4-8cf7-a30519b75809,11,0.351,0.699,0.274,1.323
1782738625,c6116324-d79b-47a4-8cf7-a30519b75809,12,0.352,0.698,0.264,1.314
1782738647,c6116324-d79b-47a4-8cf7-a30519b75809,13,0.351,0.596,0.325,1.272
1782793538,50330f86-5f5c-486a-b990-8d4b84db3dc8,1,0.201,1.952,0.241,2.395
1782793545,50330f86-5f5c-486a-b990-8d4b84db3dc8,2,0.201,0.544,0.274,1.019
